"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"sample_type","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick"
"predator_id","D.vil","D.vil","G.zad","G.zad","D.vil","D.vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB"
"time","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Urocentrum_turbo","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Woloszynskia","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Anodonta_anatina","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Aploneura_lentisci","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Asellus_aquaticus","0","0","0","0","0","0","0","1","0","2","0","0","9","8","8","2","0","0"
"Caenis_horaria","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Chaetonotus_sp._g_MK-2018","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Chironomidae_sp._PA2_1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Chironomus_pseudothummi","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Chironomus_riparius","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Eucyclops","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Eucyclops_cf._serrulatus_ZISP_11SNM-532","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Hydra_circumcincta","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Hydra_oxycnida","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Liposcelis","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Nais_elinguis","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Oxyethira_flavicornis","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"Podura_aquatica","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Potamothrix_bavaricus","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Stempellinella_edwardsi","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Tanytarsus_occultus","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"Bithynia_tentaculata"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 8","15"," 1"," 0","72"
"Caenis_robusta","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Corixidae"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4","24"," 7"," 2"," 0"," 0"
"Crangonyx_pseudogracilis","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"Dolichopodidae","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Dytiscidae","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"Eurycercus_sp.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Eurycercus_spp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","35"," 0"," 0"," 0"," 0"," 0"
"Gammarus_sp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","18"," 4"," 3"," 0","12"
"Helobdella_sp.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Leptoceridae","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Lymnea_auricolaria","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1"
"Lymnea_sp.","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","1","0"
"Lymnea_truncatula"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 2"," 0","22"
"Nematocera","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1","0"
"Pisidium_sp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","24","11"," 0"," 1"
"Planorbis_vortex","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Tipulidae","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"Tubificidae"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","54"," 0"," 0"," 0"," 0"," 0"
"Valvata_piscinalis","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","2","0","4"
"Bithynia_spp.","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"Ceratopogonidae"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","26"," 0"
"Coenagrionidae","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","3","0","0"
"Dikerogammarus_sp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","45"," 0"," 0"," 2"," 0"
"Erpobdella_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Gammarus_spp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","50"," 0"," 0"," 0"," 0"
"Glossiphonia_complanata","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","1"
"Haliplidae","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0"
"Helobdella_stagnalis"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24"," 3"," 2"," 0"," 1"
"Limnesia_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2","0","0"
"Lymnaeidae","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"Physa_acuta"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","47"," 0"," 1"," 0"," 0"
"Brachycera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Caenis_luctuosa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Corixa_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Corophium_curvispinum"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","83"," 0"," 3"," 0"
"Erythromma_najas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Micronecta_sp.","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","163","  0"
"Notonecta_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Platambus_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Plea_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Sphaerium_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0"
"Theodoxus_fluviatilis"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 4"," 6"
"Velliidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Bithynia_sp."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 1"," 0"," 5"
"Coeangrionidae"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"
"Corophium_sp.","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","110","  0","176"
"Crangonyx_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1"
"Lymnea_stagnalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","3"
"Physa_fontinalis"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","15"
"Psychodidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Segmentina_sp.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"Sialidae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Valvata_cristata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1"
